office,country,city,lat,long,hq
AMERA UK (2003–2013) / AMERA International (2015–),United Kingdom,London,51.509865,-0.118092,TRUE
AMERA Egypt (2003–2013),Egypt,Cairo,30.044281,31.340002,TRUE
Refugee Law Project (2003–),Uganda,Kampala,0.347596,32.58252,FALSE
Droit et Justice (2012–),Morocco,Casablanca,33.589886,-7.603869,FALSE
Refugee Welfare Association Cameroon (2012–),Cameroon,Bamenda,5.9597,10.14597,FALSE
